title,company,period,points
Head of IT Operations and Software Developer,Rainbow Ruiru Resort,April 2024 - Present,"Lead day-to-day IT operations across hotel departments.|Support networks, routers, switches, Wi-Fi, VOIP, CCTV, backups, and user systems.|Build and maintain software solutions that improve internal operations."
Direct Sales Agent - Safaricom Home Fibre,Remote / Field-Based,Aug 2024 - Feb 2025,"Supported customer onboarding and fibre installation scheduling.|Explained router setup and basic connectivity troubleshooting to clients."
Web Developer and Online Marketer,Gateway Mall,Mar 2024 - Apr 2024,"Designed and maintained the organization website.|Handled content updates, SEO, and basic hosting troubleshooting."
