skill
IT Support
Network Configuration
TCP/IP
DNS
DHCP
VPN
VOIP Support
CCTV Support
React
Node.js
Express
JavaScript
Python
SQL
QGIS
GIS Mapping
Spatial Data Analysis
AutoCAD
CAD Drafting
REST APIs
Git
Hardware Diagnostics
Backup Management
